Humerus_w,Humerus_x,Humerus_y,Humerus_z,Radius_w,Radius_x,Radius_y,Radius_z,Rotation_Angle,Force
1.0,0.0,0.0,0.0,0.122,0.039,-0.05,0.99,104.2,0.0
1.0,0.0,0.0,0.0,0.122,0.039,-0.05,0.99,104.2,0.0
1.0,0.0,0.0,0.0,0.122,0.039,-0.05,0.99,104.2,0.0
1.0,0.0,0.0,0.0,0.122,0.039,-0.05,0.99,104.2,0.0
1.0,0.0,0.0,0.0,0.122,0.039,-0.05,0.99,104.2,0.0
1.0,0.0,0.0,0.0,0.122,0.039,-0.05,0.99,104.2,0.0
1.0,0.0,0.0,0.0,0.122,0.039,-0.05,0.99,104.2,0.0
1.0,0.0,0.0,0.0,0.122,0.039,-0.05,0.99,104.2,0.0
1.0,0.0,0.0,0.0,0.122,0.039,-0.05,0.99,104.2,0.0
1.0,0.0,0.0,0.0,0.122,0.039,-0.05,0.99,104.2,0.0
1.0,0.0,0.0,0.0,0.122,0.039,-0.05,0.99,104.2,0.0
1.0,0.0,0.0,0.0,0.122,0.039,-0.05,0.99,104.2,0.0
1.0,0.0,0.0,0.0,0.122,0.039,-0.05,0.99,104.2,0.0
1.0,0.0,0.0,0.0,0.122,0.039,-0.05,0.99,104.2,0.0
1.0,0.0,0.0,0.0,0.122,0.039,-0.05,0.99,104.2,0.0
1.0,0.0,0.0,0.0,0.122,0.039,-0.05,0.99,104.2,0.0
1.0,0.0,0.0,0.0,0.038,0.056,0.263,0.962,92.5,0.0
1.0,0.0,0.0,0.0,0.038,0.056,0.263,0.962,92.5,0.0
1.0,0.0,0.0,0.0,0.038,0.056,0.263,0.962,92.5,0.0
1.0,0.0,0.0,0.0,0.038,0.056,0.263,0.962,92.5,0.0
1.0,0.0,0.0,0.0,0.038,0.056,0.263,0.962,92.5,0.0
1.0,0.0,0.0,0.0,0.038,0.056,0.263,0.962,92.5,0.0
1.0,0.0,0.0,0.0,0.038,0.056,0.263,0.962,92.5,0.0
1.0,0.0,0.0,0.0,0.038,0.056,0.263,0.962,92.5,0.0
1.0,0.0,0.0,0.0,0.038,0.056,0.263,0.962,92.5,0.0
1.0,0.0,0.0,0.0,0.038,0.056,0.263,0.962,92.5,0.0
1.0,0.0,0.0,0.0,0.038,0.056,0.263,0.962,92.5,0.0
1.0,0.0,0.0,0.0,0.038,0.056,0.263,0.962,92.5,0.0
1.0,0.0,0.0,0.0,0.038,0.056,0.263,0.962,92.5,0.0
1.0,0.0,0.0,0.0,0.038,0.056,0.263,0.962,92.5,0.0
1.0,0.0,0.0,0.0,0.038,0.056,0.263,0.962,92.5,0.0
1.0,0.0,0.0,0.0,0.038,0.056,0.263,0.962,92.5,0.0
1.0,0.0,0.0,0.0,0.157,0.094,0.88,0.438,88.4,0.0
1.0,0.0,0.0,0.0,0.157,0.094,0.88,0.438,88.4,0.0
1.0,0.0,0.0,0.0,0.157,0.094,0.88,0.438,88.4,0.0
1.0,0.0,0.0,0.0,0.157,0.094,0.88,0.438,88.4,0.0
1.0,0.0,0.0,0.0,0.157,0.094,0.88,0.438,88.4,0.0
1.0,0.0,0.0,0.0,0.157,0.094,0.88,0.438,88.4,0.0
1.0,0.0,0.0,0.0,0.157,0.094,0.88,0.438,88.4,0.0
1.0,0.0,0.0,0.0,0.157,0.094,0.88,0.438,88.4,0.0
1.0,0.0,0.0,0.0,0.157,0.094,0.88,0.438,88.4,0.0
1.0,0.0,0.0,0.0,0.157,0.094,0.88,0.438,88.4,0.0
1.0,0.0,0.0,0.0,0.157,0.094,0.88,0.438,88.4,0.0
1.0,0.0,0.0,0.0,0.157,0.094,0.88,0.438,88.4,0.0
1.0,0.0,0.0,0.0,0.157,0.094,0.88,0.438,88.4,0.0
1.0,0.0,0.0,0.0,0.157,0.094,0.88,0.438,88.4,0.0
1.0,0.0,0.0,0.0,0.157,0.094,0.88,0.438,88.4,0.0
1.0,0.0,0.0,0.0,0.157,0.094,0.88,0.438,88.4,0.0
1.0,0.0,0.0,0.0,0.157,0.094,0.88,0.438,88.4,0.0
1.0,0.0,0.0,0.0,0.157,0.094,0.88,0.438,88.4,0.0
1.0,0.0,0.0,0.0,0.067,0.234,0.946,0.214,65.5,0.0
1.0,0.0,0.0,0.0,0.067,0.234,0.946,0.214,65.5,0.0
1.0,0.0,0.0,0.0,0.067,0.234,0.946,0.214,65.5,0.0
1.0,0.0,0.0,0.0,0.067,0.234,0.946,0.214,65.5,0.0
1.0,0.0,0.0,0.0,0.067,0.234,0.946,0.214,65.5,0.0
1.0,0.0,0.0,0.0,0.067,0.234,0.946,0.214,65.5,0.0
1.0,0.0,0.0,0.0,0.067,0.234,0.946,0.214,65.5,0.0
1.0,0.0,0.0,0.0,0.067,0.234,0.946,0.214,65.5,0.0
1.0,0.0,0.0,0.0,0.067,0.234,0.946,0.214,65.5,0.0
1.0,0.0,0.0,0.0,0.067,0.234,0.946,0.214,65.5,0.0
1.0,0.0,0.0,0.0,0.067,0.234,0.946,0.214,65.5,0.0
1.0,0.0,0.0,0.0,0.067,0.234,0.946,0.214,65.5,0.0
1.0,0.0,0.0,0.0,0.067,0.234,0.946,0.214,65.5,0.0
1.0,0.0,0.0,0.0,0.088,0.306,0.428,0.846,83.5,0.0
1.0,0.0,0.0,0.0,0.088,0.306,0.428,0.846,83.5,0.0
1.0,0.0,0.0,0.0,0.088,0.306,0.428,0.846,83.5,0.0
1.0,0.0,0.0,0.0,0.088,0.306,0.428,0.846,83.5,0.0
1.0,0.0,0.0,0.0,0.088,0.306,0.428,0.846,83.5,0.0
1.0,0.0,0.0,0.0,0.088,0.306,0.428,0.846,83.5,0.0
1.0,0.0,0.0,0.0,0.088,0.306,0.428,0.846,83.5,0.0
1.0,0.0,0.0,0.0,0.088,0.306,0.428,0.846,83.5,0.0
1.0,0.0,0.0,0.0,0.088,0.306,0.428,0.846,83.5,0.0
1.0,0.0,0.0,0.0,0.088,0.306,0.428,0.846,83.5,0.0
1.0,0.0,0.0,0.0,0.088,0.306,0.428,0.846,83.5,0.0
1.0,0.0,0.0,0.0,0.088,0.306,0.428,0.846,83.5,0.0
1.0,0.0,0.0,0.0,0.088,0.306,0.428,0.846,83.5,0.0
1.0,0.0,0.0,0.0,0.088,0.306,0.428,0.846,83.5,0.0
1.0,0.0,0.0,0.0,0.088,0.306,0.428,0.846,83.5,0.0
1.0,0.0,0.0,0.0,0.088,0.306,0.428,0.846,83.5,0.0
1.0,0.0,0.0,0.0,0.088,0.306,0.428,0.846,83.5,0.0
1.0,0.0,0.0,0.0,0.093,0.29,0.498,0.812,82.1,0.0
1.0,0.0,0.0,0.0,0.093,0.29,0.498,0.812,82.1,0.0
1.0,0.0,0.0,0.0,0.093,0.29,0.498,0.812,82.1,0.0
1.0,0.0,0.0,0.0,0.093,0.29,0.498,0.812,82.1,0.0
1.0,0.0,0.0,0.0,0.093,0.29,0.498,0.812,82.1,0.0
1.0,0.0,0.0,0.0,0.093,0.29,0.498,0.812,82.1,0.0
1.0,0.0,0.0,0.0,0.093,0.29,0.498,0.812,82.1,0.0
1.0,0.0,0.0,0.0,0.093,0.29,0.498,0.812,82.1,0.0
1.0,0.0,0.0,0.0,0.093,0.29,0.498,0.812,82.1,0.0
1.0,0.0,0.0,0.0,0.093,0.29,0.498,0.812,82.1,0.0
1.0,0.0,0.0,0.0,0.093,0.29,0.498,0.812,82.1,0.0
1.0,0.0,0.0,0.0,0.093,0.29,0.498,0.812,82.1,0.0
1.0,0.0,0.0,0.0,0.093,0.29,0.498,0.812,82.1,0.0
1.0,0.0,0.0,0.0,0.093,0.29,0.498,0.812,82.1,0.0
1.0,0.0,0.0,0.0,0.093,0.29,0.498,0.812,82.1,0.0
1.0,0.0,0.0,0.0,0.135,0.279,0.776,0.549,73.4,0.0
1.0,0.0,0.0,0.0,0.135,0.279,0.776,0.549,73.4,0.0
1.0,0.0,0.0,0.0,0.135,0.279,0.776,0.549,73.4,0.0
1.0,0.0,0.0,0.0,0.135,0.279,0.776,0.549,73.4,0.0
